,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
57,AAPL,Apple Inc.,2008-04-23T00:00:00.000Z,TNS,0.15,0.17,8.1,EDT,0.0,EQUITY
58,AAPL,Apple Inc.,2008-01-22T00:00:00.000Z,TNS,0.23,0.25,8.86,EDT,0.0,EQUITY
59,AAPL,Apple Inc.,2007-10-22T00:00:00.000Z,TNS,0.12,0.14,17.88,EDT,0.0,EQUITY
60,AAPL,Apple Inc.,2007-07-25T00:00:00.000Z,TNS,0.1,0.13,27.07,EDT,0.0,EQUITY
61,AAPL,Apple Inc.,2007-04-25T00:00:00.000Z,TNS,0.09,0.12,35.94,EDT,0.0,EQUITY
62,AAPL,Apple Inc.,2007-01-17T00:00:00.000Z,TNS,0.11,0.16,45.38,EDT,0.0,EQUITY
63,AAPL,Apple Inc.,2006-10-18T00:00:00.000Z,TNS,0.07,0.09,22.55,EDT,0.0,EQUITY
64,AAPL,Apple Inc.,2006-07-19T00:00:00.000Z,TNS,0.06,0.08,22.85,EDT,0.0,EQUITY
65,AAPL,Apple Inc.,2006-04-19T00:00:00.000Z,TNS,0.06,0.07,8.22,EDT,0.0,EQUITY
66,AAPL,Apple Inc.,2006-01-18T00:00:00.000Z,TNS,0.09,0.09,7.09,EDT,0.0,EQUITY
67,AAPL,Apple Inc.,2005-10-11T00:00:00.000Z,TNS,0.05,0.05,2.16,EDT,0.0,EQUITY
68,AAPL,Apple Inc.,2005-07-13T00:00:00.000Z,TNS,0.04,0.05,17.96,EDT,0.0,EQUITY
69,AAPL,Apple Inc.,2005-04-13T00:00:00.000Z,TNS,0.03,0.05,39.69,EDT,0.0,EQUITY
70,AAPL,Apple Inc.,2005-01-12T00:00:00.000Z,TNS,0.03,0.05,43.93,EDT,0.0,EQUITY
71,AAPL,Apple Inc.,2004-10-13T00:00:00.000Z,TNS,0.01,0.02,47.7,EDT,0.0,EQUITY
72,AAPL,Apple Inc.,2004-07-14T00:00:00.000Z,TNS,0.01,0.01,14.96,EDT,0.0,EQUITY
73,AAPL,Apple Inc.,2004-04-14T00:00:00.000Z,TNS,0.01,0.01,46.41,EDT,0.0,EQUITY
74,AAPL,Apple Inc.,2004-01-14T00:00:00.000Z,TNS,0.01,0.01,9.38,EDT,0.0,EQUITY
75,AAPL,Apple Inc.,2003-10-15T00:00:00.000Z,TNS,0.0,0.01,20.46,EDT,0.0,EQUITY
76,AAPL,Apple Inc.,2003-07-16T00:00:00.000Z,TNS,0.0,0.0,63.01,EDT,0.0,EQUITY
77,AAPL,Apple Inc.,2003-04-16T00:00:00.000Z,TNS,0.0,0.0,100.0,EDT,0.0,EQUITY
78,AAPL,Apple Inc.,2003-01-15T00:00:00.000Z,TNS,0.0,0.0,-47.8,EDT,0.0,EQUITY
79,AAPL,Apple Inc.,2002-10-16T00:00:00.000Z,TNS,0.0,0.0,-66.9,EDT,0.0,EQUITY
80,AAPL,Apple Inc.,2002-07-16T00:00:00.000Z,TNS,0.01,0.01,3.04,EDT,0.0,EQUITY
81,AAPL,Apple Inc.,2002-01-16T00:00:00.000Z,TNS,0.01,0.01,2.21,EDT,0.0,EQUITY
82,AAPL,Apple Inc.,2001-04-18T00:00:00.000Z,TNS,0.0,0.01,920.78,EDT,0.0,EQUITY
83,AAPL,Apple Inc.,2000-07-18T00:00:00.000Z,TNS,0.03,0.03,3.01,EDT,0.0,EQUITY
84,AAPL,Apple Inc.,2000-04-19T00:00:00.000Z,TNS,0.03,0.03,9.59,EDT,0.0,EQUITY
85,AAPL,Apple Inc.,2000-01-19T00:00:00.000Z,TNS,0.03,0.04,11.14,EDT,0.0,EQUITY
86,AAPL,Apple Inc.,1999-10-13T00:00:00.000Z,TNS,0.02,0.02,12.69,EDT,0.0,EQUITY
87,AAPL,Apple Inc.,1999-07-14T00:00:00.000Z,TNS,0.02,0.02,7.69,EDT,0.0,EQUITY
88,AAPL,Apple Inc.,1999-04-14T00:00:00.000Z,TNS,0.02,0.02,19.24,EDT,0.0,EQUITY
89,AAPL,Apple Inc.,1999-01-13T00:00:00.000Z,TNS,0.02,0.03,12.79,EDT,0.0,EQUITY
90,AAPL,Apple Inc.,1998-10-14T00:00:00.000Z,TNS,0.02,0.02,39.92,EDT,0.0,EQUITY
91,AAPL,Apple Inc.,1998-07-15T00:00:00.000Z,TNS,0.01,0.02,68.49,EDT,0.0,EQUITY
92,AAPL,Apple Inc.,1998-04-15T00:00:00.000Z,TNS,0.01,0.01,156.52,EDT,0.0,EQUITY
93,AAPL,Apple Inc.,1998-01-14T00:00:00.000Z,TNS,0.01,0.01,22.3,EDT,0.0,EQUITY
94,AAPL,Apple Inc.,1997-07-16T00:00:00.000Z,TNS,-0.02,-0.02,26.79,EDT,0.0,EQUITY
95,AAPL,Apple Inc.,1997-04-16T00:00:00.000Z,TNS,-0.04,-0.05,-18.29,EDT,0.0,EQUITY
96,AAPL,Apple Inc.,1997-01-15T00:00:00.000Z,TNS,-0.02,-0.03,-48.31,EDT,0.0,EQUITY
97,AAPL,Apple Inc.,1996-10-16T00:00:00.000Z,TNS,-0.01,0.0,118.29,EDT,0.0,EQUITY
98,AAPL,Apple Inc.,1996-07-17T00:00:00.000Z,TNS,-0.04,-0.02,51.62,EDT,0.0,EQUITY
99,AAPL,Apple Inc.,1996-04-17T00:00:00.000Z,TNS,-0.05,-0.07,-40.6,EDT,0.0,EQUITY
